RespondentID,Consent,Age,Gender,Education,Single,Dating1,Dating2,Married,Divorced,Widowed,Cohabiting,Engaged,Household,Ethnicity,EthnicityOther,Language,LanguageOther,EnglishFluency,Income,IncomeOther,Height,HeightMetres,Weight,WeightKilos,BMI,BIAAQ1,BIAAQ2,BIAAQ3,BIAAQ4,BIAAQ5,BIAAQ6,BIAAQ7,BIAAQ8,BIAAQ9,BIAAQ10,BIAAQ11,BIAAQ12
4198438490,1,18,1,3,1,,,,,,,,5,2,,1,,4,1,,5.3,1.6,123,55.79,21.79,3,5,2,4,3,2,4,4,5,3,1,1
4198441137,1,54,1,2,,,,1,,,,,2,6,,1,,7,7,,5'8,1.73,195,88.45,29.65,3,4,3,4,2,4,3,4,2,4,2,3
4198441866,1,63,1,5,,,,1,,,,,2,0,American,1,,7,12,,5'9,1.75,142,64.41,20.97,1,1,1,1,1,1,1,3,1,1,1,2
4198441986,1,33,1,4,1,,,,,,,,4,0,Asian,1,,7,1,,4'11,1.5,80 lbs.,36.29,16.16,4,7,1,1,1,1,7,7,7,1,1,1
4198442218,1,30,1,4,,,,1,,,,,3,3,,1,,7,7,,5'6,1.68,225,102.06,36.32,3,1,4,3,3,3,3,2,1,1,1,4
4198442562,1,25,1,3,1,,,,,,,,2,4,,1,,7,4,,5'1,1.55,138,62.6,26.07,2,3,2,2,2,4,2,2,1,2,1,1
4198443482,1,37,1,4,,,,1,,,,,2,4,,1,,7,4,,5'10,1.78,250,113.4,35.87,3,4,3,5,3,6,1,4,3,5,3,2
4198451146,1,52,1,3,,,1,,,1,1,,2,4,,1,,7,6,,5'5,1.65,145,65.77,24.13,4,7,4,5,4,2,5,4,2,3,4,4
4198451246,1,34,1,4,,,,1,,,,,4,4,,1,,7,1,,5'7,1.7,115,52.16,18.01,4,4,4,5,4,3,4,5,3,1,3,5
4198451558,1,63,1,3,,,,,1,,,,1,0,caucasian,1,,7,2,,5'3,1.6,125,56.7,22.14,1,4,1,1,1,3,1,1,1,1,1,1
4198451756,1,25,1,5,,,1,,,,1,,5,4,,1,,6,11,,5'7,1.7,180,81.65,28.19,4,4,4,5,3,5,5,5,4,3,4,5
4198452417,1,26,1,5,1,,,,,,,,2,0,Middle Eas,1,,7,8,,5'0,1.52,107,48.53,20.9,2,4,3,2,2,4,1,4,6,4,3,4
